my_own_id,the_image
0,873e5e4e-847a-4958-866f-31d98d3de51a.jpg
1,444b58c3-a792-491e-baf5-67f4a4751105.jpg
2,41bf9f2b-2488-4f03-bf9b-41a902f8bfcc.jpg
3,cea5047c-e9a6-4837-b1dc-0b8b2d2bc35f.jpg
