classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
169603748,ACRE_AR,1775114,4fd7a810664ba74d50cb,11312,new workflow title,2.2,2019-06-08 01:28:25 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:18.706Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:25.290Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:18.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""test"",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
169603755,ACRE_AR,1775114,4fd7a810664ba74d50cb,11312,new workflow title,2.2,2019-06-08 01:28:32 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:27.468Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:31.930Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:27.091Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
169603763,ACRE_AR,1775114,4fd7a810664ba74d50cb,11312,new workflow title,2.2,2019-06-08 01:28:40 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:36.999Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:39.529Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:36.647Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""test"",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
